ID,0,names
1,1,transition
2,1,transition
3,2,alpine
4,1,transition
5,1,transition
6,1,transition
7,1,transition
8,2,alpine
9,1,transition
10,1,transition
11,0,plateau
12,0,plateau
13,1,transition
14,1,transition
15,1,transition
16,0,plateau
17,1,transition
18,0,plateau
19,0,plateau
20,1,transition
21,1,transition
22,1,transition
23,1,transition
24,1,transition
25,1,transition
26,1,transition
27,1,transition
28,1,transition
29,1,transition
30,1,transition
32,0,plateau
33,1,transition
34,1,transition
35,1,transition
36,1,transition
37,1,transition
38,1,transition
39,1,transition
40,2,alpine
41,1,transition
42,1,transition
43,1,transition
44,2,alpine
45,2,alpine
46,2,alpine
47,2,alpine
48,2,alpine
49,2,alpine
50,2,alpine
51,1,transition
52,1,transition
53,2,alpine
54,2,alpine
55,2,alpine
56,2,alpine
57,2,alpine
58,2,alpine
59,2,alpine
60,2,alpine
61,2,alpine
62,1,transition
63,1,transition
64,1,transition
65,2,alpine
66,1,transition
67,2,alpine
68,1,transition
69,2,alpine
70,2,alpine
71,1,transition
72,2,alpine
73,2,alpine
74,1,transition
75,1,transition
76,1,transition
77,1,transition
78,2,alpine
79,2,alpine
80,2,alpine
81,2,alpine
82,2,alpine
83,1,transition
84,1,transition
85,2,alpine
86,1,transition
87,1,transition
88,1,transition
89,1,transition
90,1,transition
91,1,transition
92,1,transition
93,1,transition
94,1,transition
95,1,transition
96,1,transition
97,1,transition
98,1,transition
99,1,transition
100,1,transition
101,1,transition
102,1,transition
103,1,transition
104,1,transition
105,1,transition
106,1,transition
107,1,transition
108,1,transition
109,1,transition
110,1,transition
111,2,alpine
112,2,alpine
113,2,alpine
114,2,alpine
115,2,alpine
116,1,transition
117,1,transition
118,2,alpine
119,1,transition
120,2,alpine
121,2,alpine
122,1,transition
123,2,alpine
124,1,transition
125,2,alpine
126,2,alpine
127,2,alpine
128,2,alpine
129,1,transition
130,1,transition
131,1,transition
132,2,alpine
133,1,transition
134,1,transition
135,1,transition
136,1,transition
137,1,transition
138,1,transition
139,1,transition
140,1,transition
141,1,transition
142,1,transition
143,1,transition
144,1,transition
145,1,transition
147,1,transition
148,0,plateau
149,0,plateau
150,0,plateau
151,0,plateau
152,0,plateau
153,0,plateau
154,0,plateau
155,1,transition
156,1,transition
157,0,plateau
158,0,plateau
159,0,plateau
160,0,plateau
161,0,plateau
162,0,plateau
163,0,plateau
164,0,plateau
165,0,plateau
166,0,plateau
167,0,plateau
168,0,plateau
169,0,plateau
170,0,plateau
171,0,plateau
172,0,plateau
173,0,plateau
174,0,plateau
175,0,plateau
176,0,plateau
177,0,plateau
178,0,plateau
179,0,plateau
180,0,plateau
181,0,plateau
182,0,plateau
183,0,plateau
184,0,plateau
185,0,plateau
186,0,plateau
187,0,plateau
188,0,plateau
189,0,plateau
190,0,plateau
191,0,plateau
192,0,plateau
193,0,plateau
194,0,plateau
195,0,plateau
196,0,plateau
197,0,plateau
198,0,plateau
199,0,plateau
200,1,transition
201,1,transition
202,1,transition
203,1,transition
204,1,transition
205,2,alpine
206,1,transition
207,1,transition
208,1,transition
209,1,transition
210,1,transition
211,1,transition
