1.;lake_fra;8.6;142 (16.5%);LC
2.;p_season;9.8;88 (10.2%);CLI
3.;elev_ran;10.0;51 (5.9%);GEO
4.;elev_mean;10.3;70 (8.1%);GEO
5.;area_calc;10.4;79 (9.2%);GEO
6.;gvf_diff;10.9;63 (7.3%);VEG
7.;gvf_max;11.8;34 (4.0%);VEG
8.;et0_mean;11.9;49 (5.7%);CLI
9.;soil_condu;12.4;31 (3.6%);SOIL
10.;lo_prec_du;13.1;23 (2.7%);CLI
11.;urban_fra;13.3;43 (5.0%);LC
12.;hi_prec_du;13.7;39 (4.5%);CLI
13.;glac_fra;14.2;13 (1.5%);LC
14.;hi_prec_fr;14.7;26 (3.0%);CLI
15.;frac_snow;15.7;12 (1.4%);CLI
16.;slope_mean;15.8;4 (0.5%);GEO
17.;soil_poros;16.0;20 (2.3%);SOIL
18.;bedrk_dep;16.3;12 (1.4%);GEO
19.;bare_fra;16.5;21 (2.4%);LC
20.;agr_fra;17.3;2 (0.2%);LC
21.;lai_diff;17.4;10 (1.2%);VEG
22.;clay_fra;17.8;10 (1.2%);SOIL
23.;p_mean;18.2;3 (0.3%);CLI
24.;arid_1;18.8;3 (0.3%);CLI
25.;lo_prec_fr;19.0;1 (0.1%);CLI
26.;forest_fra;19.3;1 (0.1%);LC
27.;silt_fra;19.7;4 (0.5%);SOIL
28.;lai_max;19.7;1 (0.1%);VEG
29.;sand_fra;22.7;4 (0.5%);SOIL
